benchmark,condition,scope,domain,n,acc,acc_ci95_lo,acc_ci95_hi,p50_lat_s,p95_lat_s,p50_comp_tok,p95_comp_tok,stuck_rate,wall_s,seed,timestamp_utc
gsm_plus,tb2048,domain,integer-decimal-fraction conversion,250,0.9640,0.9330,0.9809,,,,,,,42,2026-05-15T02:34:13Z
gsm_plus,tb2048,domain,reversing operation,250,0.9040,0.8611,0.9346,,,,,,,42,2026-05-15T02:34:13Z
gsm_plus,tb2048,domain,problem understanding,250,0.9640,0.9330,0.9809,,,,,,,42,2026-05-15T02:34:13Z
gsm_plus,tb2048,domain,critical thinking,250,0.0000,0.0000,0.0151,,,,,,,42,2026-05-15T02:34:13Z
gsm_plus,tb2048,domain,distraction insertion,250,0.9480,0.9131,0.9694,,,,,,,42,2026-05-15T02:34:13Z
gsm_plus,unbounded,overall,ALL,2000,0.7965,0.7783,0.8136,24.028,198.013,2214,16384,0.1160,13525.2,42,2026-05-15T04:32:49Z
gsm_plus,unbounded,domain,numerical substitution,250,0.8840,0.8384,0.9180,,,,,,,42,2026-05-15T04:32:49Z
gsm_plus,unbounded,domain,problem understanding,250,0.9520,0.9180,0.9723,,,,,,,42,2026-05-15T04:32:49Z
gsm_plus,unbounded,domain,integer-decimal-fraction conversion,250,0.9640,0.9330,0.9809,,,,,,,42,2026-05-15T04:32:49Z
gsm_plus,unbounded,domain,distraction insertion,250,0.9320,0.8938,0.9571,,,,,,,42,2026-05-15T04:32:49Z
gsm_plus,unbounded,domain,digit expansion,250,0.9360,0.8986,0.9602,,,,,,,42,2026-05-15T04:32:49Z
gsm_plus,unbounded,domain,adding operation,250,0.8120,0.7590,0.8556,,,,,,,42,2026-05-15T04:32:49Z
gsm_plus,unbounded,domain,reversing operation,250,0.8920,0.8474,0.9247,,,,,,,42,2026-05-15T04:32:49Z
gsm_plus,unbounded,domain,critical thinking,250,0.0000,0.0000,0.0151,,,,,,,42,2026-05-15T04:32:49Z
mmlu_pro,tb2048,overall,ALL,1400,0.8264,0.8057,0.8454,27.158,36.839,2494,3297,0.0129,5074.9,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,business,100,0.8400,0.7558,0.8990,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,chemistry,100,0.8700,0.7902,0.9224,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,biology,100,0.9200,0.8500,0.9589,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,history,100,0.8100,0.7222,0.8749,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,philosophy,100,0.8600,0.7786,0.9147,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,economics,100,0.8800,0.8019,0.9300,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,other,100,0.8700,0.7902,0.9224,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,law,100,0.6800,0.5834,0.7633,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,psychology,100,0.8000,0.7112,0.8666,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,math,100,0.9100,0.8377,0.9519,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,engineering,100,0.6900,0.5937,0.7722,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,health,100,0.7300,0.6357,0.8073,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,physics,100,0.8800,0.8019,0.9300,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,tb2048,domain,computer science,100,0.8300,0.7445,0.8911,,,,,,,42,2026-05-15T08:18:18Z
mmlu_pro,unbounded,overall,ALL,1400,0.7314,0.7076,0.7540,69.832,208.918,5670,16384,0.1650,15897.1,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,biology,100,0.8800,0.8019,0.9300,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,other,100,0.7900,0.7002,0.8583,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,law,100,0.5400,0.4426,0.6344,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,math,100,0.7600,0.6677,0.8331,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,health,100,0.6800,0.5834,0.7633,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,computer science,100,0.7300,0.6357,0.8073,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,philosophy,100,0.7900,0.7002,0.8583,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,history,100,0.7000,0.6041,0.7811,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,chemistry,100,0.7500,0.6570,0.8245,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,psychology,100,0.8000,0.7112,0.8666,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,business,100,0.8000,0.7112,0.8666,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,physics,100,0.7200,0.6251,0.7986,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,economics,100,0.8100,0.7222,0.8749,,,,,,,42,2026-05-15T09:42:57Z
mmlu_pro,unbounded,domain,engineering,100,0.4900,0.3942,0.5865,,,,,,,42,2026-05-15T09:42:57Z
